created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-04-07 11:10:43 UTC,1,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:10:58 UTC,2,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:11:14 UTC,3,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:11:29 UTC,4,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:11:45 UTC,5,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:12:16 UTC,6,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:12:32 UTC,7,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:12:48 UTC,8,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:13:03 UTC,9,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:13:18 UTC,10,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:13:34 UTC,11,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:14:06 UTC,12,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:14:36 UTC,13,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:14:52 UTC,14,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:15:08 UTC,15,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:15:23 UTC,16,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:15:39 UTC,17,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:15:54 UTC,18,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:16:10 UTC,19,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:16:25 UTC,20,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:16:41 UTC,21,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:16:57 UTC,22,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:17:12 UTC,23,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:17:28 UTC,24,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:28:12 UTC,25,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:28:28 UTC,26,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:28:58 UTC,27,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:29:14 UTC,28,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:29:30 UTC,29,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:29:45 UTC,30,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:30:01 UTC,31,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:30:16 UTC,32,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:30:32 UTC,33,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:30:47 UTC,34,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:31:03 UTC,35,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:31:18 UTC,36,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:31:34 UTC,37,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:31:50 UTC,38,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:32:05 UTC,39,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:32:21 UTC,40,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:32:36 UTC,41,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:32:52 UTC,42,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:33:08 UTC,43,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:33:39 UTC,44,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:33:54 UTC,45,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:34:10 UTC,46,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:34:25 UTC,47,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:35:03 UTC,48,22.40,260,31,1,0,0,8657456908,8657456908
2018-04-07 11:36:50 UTC,49,120.72,116.81,64.00,0,0,0,8657456908,8657456908
2018-04-07 11:37:06 UTC,50,88.95,109.48,63.00,0,0,0,8657456908,8657456908
2018-04-07 11:37:22 UTC,51,88.95,108.50,63.00,0,0,0,8657456908,8657456908
2018-04-07 11:37:38 UTC,52,87.98,108.02,63.00,0,0,0,8657456908,8657456908
2018-04-07 11:37:53 UTC,53,86.51,105.57,63.00,0,0,0,8657456908,8657456908
2018-04-07 11:38:10 UTC,54,88.47,108.50,65.00,0,0,0,8657456908,8657456908
2018-04-07 11:38:25 UTC,55,87.00,105.57,63.00,0,0,0,8657456908,8657456908
2018-04-07 11:38:41 UTC,56,86.51,104.59,63.00,0,0,0,8657456908,8657456908
2018-04-07 11:38:57 UTC,57,86.02,105.08,65.00,0,0,0,8657456908,8657456908
2018-04-07 11:39:13 UTC,58,82.11,93.84,63.00,0,1,0,8657456908,8657456908
2018-04-07 11:39:29 UTC,59,80.16,93.35,63.00,0,1,0,8657456908,8657456908
2018-04-07 11:39:44 UTC,60,83.09,93.84,63.00,0,1,0,8657456908,8657456908


