created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-02-27 06:54:59 UTC,1,33.72,318.67,0,1,1,1,9928492120,9928492120
2018-02-27 06:55:15 UTC,2,41.06,321.11,0,0,0,0,9928492120,9928492120
2018-02-27 06:55:31 UTC,3,28.84,320.14,0,0,0,0,9928492120,9928492120
2018-02-27 06:55:46 UTC,4,34.7,322.09,0,0,0,0,9928492120,9928492120
2018-02-27 06:56:02 UTC,5,34.7,314.27,0,0,0,0,9928492120,9928492120
2018-02-27 06:56:18 UTC,6,29.33,315.25,16,0,0,0,9928492120,9928492120
2018-02-27 06:56:34 UTC,7,26.88,320.63,28,0,0,0,9928492120,9928492120
2018-02-27 06:56:50 UTC,8,32.75,107.53,27,0,0,0,9928492120,9928492120
2018-02-27 06:57:06 UTC,9,27.37,318.18,39,0,0,0,9928492120,9928492120
2018-02-27 06:57:21 UTC,10,34.21,257.09,39,0,0,0,9928492120,9928492120
2018-02-27 06:57:37 UTC,11,35.19,320.14,26,0,1,0,9928492120,9928492120
2018-02-27 06:57:53 UTC,12,39.1,319.65,36,0,1,1,9928492120,9928492120
2018-02-27 06:58:09 UTC,13,28.35,315.25,25,1,1,1,9928492120,9928492120
2018-02-27 06:58:25 UTC,14,34.21,318.18,26,1,1,1,9928492120,9928492120
2018-02-27 06:58:41 UTC,15,35.19,317.2,25,0,1,0,9928492120,9928492120
2018-02-27 06:58:57 UTC,16,34.7,205.28,31,1,1,1,9928492120,9928492120
2018-02-27 06:59:12 UTC,17,27.86,291.79,13,1,1,1,9928492120,9928492120
2018-02-27 06:59:28 UTC,18,34.7,317.69,24,1,1,1,9928492120,9928492120
2018-02-27 06:59:44 UTC,19,26.88,319.65,31,0,0,0,9928492120,9928492120
2018-02-27 07:00:00 UTC,20,29.33,320.63,23,0,0,0,9928492120,9928492120
2018-02-27 07:00:16 UTC,21,35.19,318.67,12,0,0,0,9928492120,9928492120
2018-02-27 07:00:32 UTC,22,32.75,145.65,15,1,1,1,9928492120,9928492120
2018-02-27 07:00:47 UTC,23,32.26,171.07,38,1,1,0,9928492120,9928492120
2018-02-27 07:01:03 UTC,24,39.59,322.09,24,1,1,0,9928492120,9928492120
2018-02-27 07:01:19 UTC,25,27.86,286.41,34,1,0,0,9928492120,9928492120
2018-02-27 07:01:35 UTC,26,27.37,318.18,38,1,0,0,9928492120,9928492120
